timestamp,price,change,change_percent,volume_24h
2026-04-04T04:45:34.608Z,66857.21,271.21,0.407,9663.36651
2026-04-04T04:45:46.084Z,66857.21,271.22,0.407,9663.15239
2026-04-04T04:45:57.800Z,66857.21,271.22,0.407,9663.08071
2026-04-04T04:46:09.962Z,66857.22,271.22,0.407,9662.75906
2026-04-04T04:46:21.514Z,66857.22,260.56,0.391,9661.51144
2026-04-04T04:46:31.957Z,66857.22,260.56,0.391,9661.51907
2026-04-04T04:46:42.963Z,66857.22,222.6,0.334,9660.56817
2026-04-04T04:46:53.565Z,66857.22,221.58,0.333,9660.73304
2026-04-04T04:47:09.026Z,66852,176.29,0.264,9648.9368
2026-04-04T04:47:20.270Z,66851.99,197.43,0.296,9643.71939
2026-04-04T14:21:44.608Z,67211.47,396.51,0.593,7729.95602
2026-04-04T14:21:55.249Z,67204.45,399.47,0.598,7729.73713
2026-04-04T14:22:05.935Z,67194.93,384.74,0.576,7730.59707
2026-04-04T14:22:16.529Z,67194.94,380.65,0.57,7732.80529
